"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND-MAgPIE 1.7-3.0","CD-LINKS_NPi2020_400","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",45649.1673,49524.4921,54908.8939,56282.5164,45097.9725,34783.2963,25555.9777,19021.9045,13008.3394,8476.0315,4031.7593,729.4009,"",-3370.2683,"",-5469.406,"",-6997.8296,"",-8756.0843
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_200f","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",45843.3701,50449.7477,53421.1004,54225.9371,41413.586,32277.7699,25735.7074,21028.9048,16814.637,12311.155,9500.0862,7187.9807,"",3064.7674,"",-2139.466,"",-6731.8957,"",-8836.9777
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg900","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",45747.2599,51414.7396,55596.1348,58482.5458,45849.8752,33028.8681,25219.4506,18616.7589,12189.2485,7212.4873,4767.762,2890.5413,"",394.2429,"",-1197.8729,"",-2267.9463,"",-2878.2074
"REMIND-MAgPIE 1.7-3.0","SMP_2C_lifesty","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",46790.9514,53417.79900000001,59580.9859,54302.3748,46594.1406,41336.4301,35307.2541,29115.4247,22119.929,16876.4158,12390.9689,9036.0682,"",3752.5002,"",53.2704,"",-2957.3914,"",-4960.4651
"REMIND 2.1","CEMICS_HotellingConst_1p5","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",46724.0532,50882.076,53745.6795,54099.2318,43996.4075,35813.3239,27155.5402,19917.4259,13845.0272,7353.4927,2358.2723,-1398.3476,"",-5601.0647,"",-7449.1149,"",-8440.2786,"",-8682.1043
"REMIND 2.1","R2p1_SSP5-PkBudg900","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",46144.6604,50781,53822.6196,54302.341,41926.956,35362.0626,27988.9088,19331.5342,12273.7982,6398.4586,3714.2378,2194.9488,"",-88.64,"",-1897.6865,"",-3853.7451,"",-5651.7453
"REMIND-MAgPIE 2.1-4.2","SusDev_SSP1-PkBudg900","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",45844.4754,50444.9775,53419.6928,54203.209,41345.9295,32494.8157,25050.2633,19251.5891,14272.1916,9596.0175,6697.5321,4176.5409,"",880.0933,"",-1132.0944,"",-2836.9608,"",-4629.2722
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",49029.57953950579,51808.91320661623,"",53516.93824623992,"",34094.3479623345,"",20614.54054826536,"",11928.9679635711,"",5861.82564069605,"",9.374057864632206,"",-4691.288564306791,"",-7018.722955344872,"",-8018.230529435332
"MESSAGEix-GLOBIOM 1.0","LowEnergyDemand_1.3_IPCC","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","","",50887.47385393333,55566.52226032771,55283.9766186187,"",25612.64249411824,"",14829.86086981248,"",8776.365938172146,"",5944.931751250583,"",3816.644062139172,"",2188.019838585118,"",1482.276658603491,"",1015.920810302605
"REMIND 2.1","R2p1_SSP1-PkBudg900","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",46144.6604,50781,53822.6196,54302.341,41203.9724,33153.084,25270.5533,18685.4697,13762.9399,9136.2214,6221.7702,3740.9913,"",518.7474,"",-1495.4063,"",-3259.3318,"",-5035.8989
"REMIND 2.1","LeastTotalCost_LTC_brkLR15_SSP1_P50","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",46724.0532,50879.8752,53736.0218,54074.4997,41757.0053,35647.8796,29327.572,23884.0033,20174.0371,16255.7602,13047.6388,9742.809,"",4490.924,"",625.4727,"",-1998.1126,"",-4385.5666
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi2020_400","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",42137.3519457274,47281.65256665769,50047.9407916258,"",52253.39453125,"",34013.09765625,"",20991.646484375,"",10581.3701171875,"",-111.243942260742,"",-5002.2177734375,"",-8564.7890625,"",-11395.8994140625,"",-12910.45703125
"POLES EMF33","EMF33_WB2C_nofuel","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",35466.79296875,41116.7734375,45069.0546875,"",50358.51171875,"",27254.958984375,"",18394.826171875,"",10487.0830078125,"",3111.06787109375,"",-1375.80712890625,"",-4003.38305664062,"",-5460.91015625,"",-7090.91015625
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_full","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",43281.0732937073,48772.9874240944,51589.3470765659,"",53708.4778638706,"",24731.7388391357,"",14590.9335214649,"",6855.799613581778,"",-2422.9184460376,"",-4886.00446356394,"",-7061.884285441321,"",-8389.842622071608,"",-9010.19375974273
"REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_nofuel","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",43036.55910000001,46287.3376,52105.7331,56186.839,46655.06950000001,36866.5422,27377.97600000001,20350.4273,13538.7566,8171.467900000001,3540.512800000001,780.3500000000006,"",-1485.4109,"",-3359.3512,"",-5265.295800000001,"",-6900.8434
"IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",44337.53125,50009.359375,51535.359375,51895.359375,48370.8203125,29124.580078125,16680.0703125,9379.7919921875,3550.051025390625,-245.7359924316406,-1611.472045898438,-789.122314453125,-707.5872192382812,96.3599624633789,364.7168884277344,9.336230278015137,-498.5281066894531,-628.64697265625,-1003.828002929688,-1251.401977539062
"IMAGE 3.2","SSP1_SPA1_19I_D_LB","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",44460.6796875,50200.37109375,51776.80859375,52159.5390625,48265.75,31721.01953125,21989.619140625,14367.0703125,9362.4345703125,5430.83984375,3956.007080078125,3222.382080078125,2824.468017578125,1888.323974609375,1686.045043945312,547.8875732421875,186.4228057861328,-484.4302978515625,-654.0748901367188,-1306.317993164062
"REMIND 1.7","CEMICS-1.5-CDR8","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",48717.3068,54361.63099999999,61652.101,62170.2981,44178.95,27052.98,12248.43,6931.012,5177.209,3874.035,3201.863,2744.605,"",2229.121,"",1705.525,"",1203.058,"",423.5319
"IMAGE 3.2","SSP1_SPA1_19I_RE_LB","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",44449.609375,50162,51703.8203125,52088.80859375,48454.328125,31858.759765625,21717.279296875,13714.01953125,8375.3916015625,4502.09912109375,2810.053955078125,2042.176025390625,1477.8740234375,437.7254028320312,474.8226928710938,-1138.7060546875,-1581.0439453125,-2032.922973632812,-2215.10791015625,-2539.178955078125
"IMAGE 3.2","SSP2_SPA2_19I_LI","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",45010.23828125,50887.140625,52768.2890625,53696.87109375,52393.05078125,46746.62890625,32581.05078125,17483.640625,10522.8603515625,4669.2529296875,-483.7038879394531,-1809.48095703125,-1476.805053710938,-1843.631958007812,-1026.400024414062,-1423.781005859375,-1449.9580078125,-1302.678955078125,-1250.52197265625,-1795.490966796875
"© AR6 Scenario Explorer and Database hosted by IIASA https://data.ece.iiasa.ac.at/ar6"
